idx,sample_id,side,capture_fraction,cam_to_door_centre_m,gap_pixels,gap_luma_mean,gap_luma_p90,leaf_region_pixels,leaf_region_luma_mean,in_roi_list,vis6_gap_px,vis6_gap_n,vis6_gap_delta_p50,vis6_gap_beyond,vis6_gap_on,vis6_gap_near,vis6_quad_px,vis6_quad_n,vis6_quad_delta_p50,vis6_quad_beyond,vis6_quad_on,vis6_quad_near,vis6f_gap_px,vis6f_gap_n,vis6f_gap_delta_p50,vis6f_gap_beyond,vis6f_gap_on,vis6f_gap_near,vis6f_quad_px,vis6f_quad_n,vis6f_quad_delta_p50,vis6f_quad_beyond,vis6f_quad_on,vis6f_quad_near,lidar_los,vis6_leafpoly_vs_leafplane_px,vis6_leafpoly_vs_leafplane_n,vis6_leafpoly_vs_leafplane_delta_p50,vis6_leafpoly_vs_leafplane_beyond,vis6_leafpoly_vs_leafplane_on,vis6_leafpoly_vs_leafplane_near,vis6f_leafpoly_vs_leafplane_px,vis6f_leafpoly_vs_leafplane_n,vis6f_leafpoly_vs_leafplane_delta_p50,vis6f_leafpoly_vs_leafplane_beyond,vis6f_leafpoly_vs_leafplane_on,vis6f_leafpoly_vs_leafplane_near
138,img_0e30201037f2d207322568eb::yaw_plus_35,interior,0.3326,9.69,21078,109.4,141.0,0,nan,False,21078,12529,-3.747758413358122,482,173,11874,25753,15316,-3.747117650329354,578,234,14475,21078,11380,-3.7531631193711146,0,0,11380,25753,13910,-3.7532933917417095,0,0,13910,occluded,,,,,,,,,,,,
139,img_3a21b7ae860b72ed8804abcc::yaw_plus_35,interior,0.3348,9.4,21923,110.0,142.1,0,nan,False,21923,13228,-3.7620610211583534,672,243,12313,26593,16039,-3.7594715335957414,827,324,14861,21923,11628,-3.7856123535427226,0,0,11628,26593,14084,-3.784028392057637,0,0,14084,occluded,,,,,,,,,,,,
140,img_2a01d8380fb472ce1a05426b::yaw_plus_35,interior,0.3371,9.11,24207,109.2,141.7,0,nan,False,24207,13994,-3.7795539334603943,875,260,12859,29297,16939,-3.7675971693470682,1050,396,15440,24207,11944,-3.792446102781444,0,0,11944,29297,14401,-3.7902495203286577,0,0,14401,occluded,,,,,,,,,,,,
141,img_d14ce879e6a132a7c0aaf3ea::yaw_plus_35,interior,0.3394,8.77,25817,109.6,140.3,0,nan,False,25817,14747,-3.371238602549944,1145,372,13230,31135,17797,-3.3782809014546267,1357,555,15810,25817,12119,-3.8100208336147663,0,0,12119,31135,14515,-3.806309846369121,0,0,14515,occluded,,,,,,,,,,,,
142,img_e33c0f642afa1aec24e17c11::yaw_plus_35,interior,0.3416,8.43,27836,106.5,138.3,0,nan,False,27836,16682,-3.218064193186411,1727,556,14399,33302,19998,-3.226993311983758,2048,818,17032,27836,12577,-3.832100038277302,0,0,12577,33302,14965,-3.8313764557163577,0,0,14965,occluded,,,,,,,,,,,,
143,img_02ea8d71b98fade9b737af1e::yaw_plus_35,interior,0.3439,8.05,33051,105.6,137.3,0,nan,False,33051,18716,-3.204593904301511,2601,755,15360,39064,22197,-3.206674325000982,3027,1078,17982,33051,12857,-3.8314009178136574,0,0,12857,39064,15128,-3.8229145177985133,0,0,15128,occluded,,,,,,,,,,,,
144,img_9b81a0f6a1bf887a91ae2d98::yaw_plus_35,interior,0.3462,7.71,39302,108.5,136.7,0,nan,False,39302,20863,-3.2002288949639945,3482,909,16468,46473,24797,-3.1985612295915438,4077,1381,19226,39302,12575,-3.5488154998132933,0,0,12575,46473,14663,-3.5764026546322434,0,0,14663,occluded,,,,,,,,,,,,
145,img_06fe18d7805639029a0909d7::yaw_minus_35,interior,0.3484,7.39,49433,84.0,114.8,0,nan,False,49433,22960,-3.205715585513677,4445,1054,17428,57649,26935,-3.192365955907161,5073,1603,19975,49433,10779,-3.922688558321755,0,0,10779,57649,12365,-3.925316599393577,0,0,12365,occluded,,,,,,,,,,,,
146,img_98f96242d8c202d61ed3e10a::yaw_plus_35,interior,0.3484,7.39,46942,109.3,139.9,0,nan,False,46942,22723,-3.198445332221345,4270,998,17435,54745,26727,-3.1926438943279267,4945,1536,20003,46942,11449,-3.659348709207501,0,0,11449,54745,13127,-3.889912249773846,0,0,13127,occluded,,,,,,,,,,,,
147,img_be3df20bb870c84751cfa689::yaw_plus_35,interior,0.3507,7.06,49194,111.0,140.4,0,nan,False,49194,24434,-1.2594274352297061,5794,1208,17271,57181,28626,-1.2522671323463812,6437,1870,19861,49194,5199,-4.040667271264089,0,0,5199,57181,6222,-4.044640342082588,0,0,6222,occluded,,,,,,,,,,,,
148,img_4de2b810d4947fd02c7d9da0::yaw_plus_35,interior,0.3529,6.81,50405,112.3,138.3,0,nan,False,50405,25640,-1.0521055340414343,7652,1367,16338,58399,29980,-1.0466889261128376,8435,2077,18912,50405,4751,-4.099855694260571,0,0,4751,58399,5620,-4.10215976784276,0,0,5620,occluded,,,,,,,,,,,,
149,img_b6beedc52cef4f2ac0a45e14::yaw_minus_35,interior,0.3552,6.58,45405,105.4,128.2,0,nan,False,45405,25637,-1.0164578889983353,9027,1612,14628,52916,30001,-1.0119423404678916,9805,2352,17181,45405,4510,-4.185905497619001,0,0,4510,52916,5269,-4.186099029027284,0,0,5269,occluded,,,,,,,,,,,,
150,img_b9f940b901e71cda50ef8ab3::yaw_minus_35,interior,0.3575,6.3,43790,109.1,130.1,0,nan,False,43790,25958,-0.9924719853688506,9465,1678,14388,50949,30278,-0.9348395322936733,10372,2562,16540,43790,3815,-4.209788425652615,0,0,3815,50949,4448,-4.2122566385404046,0,0,4448,occluded,,,,,,,,,,,,
151,img_a82e5ed8936520040da5595f::yaw_minus_35,interior,0.3597,6.08,44965,114.7,139.1,0,nan,False,44965,26608,-0.9154804958279952,10070,1680,14354,52214,30977,-0.8292399926815959,11013,2596,16455,44965,3205,-4.240289569694878,0,0,3205,52214,3748,-4.241979092576389,0,0,3748,occluded,,,,,,,,,,,,
152,img_b709d4e3277d2f8c8b7f9745::yaw_minus_35,interior,0.362,5.86,44535,123.2,149.1,0,nan,False,44535,26135,-0.8857750021365858,9818,1629,14106,51993,30597,-0.7985121661679466,10844,2581,16111,44535,2647,-4.268783839396942,0,0,2647,51993,3074,-4.27350744943054,0,0,3074,occluded,,,,,,,,,,,,
153,img_61f4cc2148cac254e5f04ce6::yaw_minus_35,interior,0.3643,5.69,49316,123.3,144.8,0,nan,False,49316,26114,-0.8008193023582431,10425,1687,13518,57505,30595,-0.6501259015136389,11375,2659,15644,49316,2327,-4.209969120705023,0,0,2327,57505,2718,-4.215986548473786,0,0,2718,occluded,,,,,,,,,,,,
154,img_649f98a511547e2d01b94687::yaw_minus_35,interior,0.3665,5.55,53001,123.5,146.0,0,nan,False,53001,27258,-0.14990336413487393,11750,1882,13255,61504,31796,-0.22354072208413234,12643,2729,15635,53001,2148,-4.141224819047486,0,0,2148,61504,2512,-4.1435408135962,0,0,2512,occluded,,,,,,,,,,,,
155,img_431341ddc18bf7bbfc873256::yaw_minus_35,interior,0.3688,5.45,60884,130.1,152.9,0,nan,False,60884,27431,-0.7753672404767968,11266,1845,13980,70130,31751,-0.7460939054165445,12124,2762,16109,60884,1961,-4.098390450836739,0,0,1961,70130,2261,-4.101538856414276,0,0,2261,occluded,,,,,,,,,,,,
156,img_9ee9430204cbc4d2cbd30ed3::yaw_minus_35,interior,0.371,5.33,73454,131.9,156.8,0,nan,False,73454,28055,-0.9118456200118397,11019,1938,14811,84162,32549,-0.8216270551461831,12058,2885,16874,73454,1627,-4.057577310043497,0,0,1627,84162,1886,-4.066067865023998,0,0,1886,occluded,,,,,,,,,,,,
157,img_6edd04890eae67b7aad63fbe::yaw_minus_35,interior,0.3756,5.2,85790,127.8,151.8,0,nan,False,85790,29258,-0.9210010517330929,11669,2334,15235,97575,33656,-0.7493080076867296,12945,3247,16994,85790,1656,-3.960175463871478,0,0,1656,97575,1850,-3.964187543572144,0,0,1850,occluded,,,,,,,,,,,,
158,img_8445df47b782669dc1b90367::yaw_plus_35,interior,0.3824,4.95,84911,144.5,161.9,0,nan,False,84911,32024,-0.11418685360569691,15576,3057,13391,97876,37355,-0.11439873546296653,17748,4364,14986,84911,1735,-3.7672488551248167,0,0,1735,97876,1984,-3.771140286188362,0,0,1984,occluded,,,,,,,,,,,,
159,img_a415e25dd2ef27ecc5a4e82a::yaw_plus_35,interior,0.3846,4.91,96246,151.2,172.2,525,161.3,False,96246,33192,-0.11166969712779018,16402,2944,13846,111194,38611,-0.11210170080643245,18633,4219,15518,96246,1922,-3.733259004202272,0,0,1922,111194,2558,-3.724666966808484,0,0,2558,occluded,525,172,1.29487517407625,88,54,30,525,30,-3.4630222386338327,0,0,30
160,img_02167f65b42e301e9acb4f89::yaw_plus_35,interior,0.3869,4.87,99914,155.7,212.9,612,94.1,True,99914,33518,1.2894743236448791,18922,3477,11119,115323,38751,1.2476848841900914,21577,4905,12015,99914,5695,-3.5242348920570503,349,1461,3885,115323,7012,-3.463628021744139,406,2468,4085,occluded,612,183,1.4142974326632292,113,70,0,612,70,-0.06702158117124268,0,70,0
161,img_de19e8fb18e453296b788e19::yaw_plus_35,interior,0.3937,5.12,70567,110.2,207.9,0,nan,False,70567,30198,1.4757457034002672,21876,3829,4493,82994,35782,1.4181784013923004,24927,5266,5463,70567,9954,-0.1196528716450227,3001,3368,3585,82994,12305,-0.12284927944813084,3430,4575,4196,clear,,,,,,,,,,,,
162,img_f8b73b376042c741c55a06cd::yaw_plus_35,interior,0.3959,5.22,59099,110.9,212.5,0,nan,False,59099,22524,1.770675188103501,18712,3812,0,69588,27123,1.5837560220970825,21570,5355,1,59099,6374,-0.11325821292000393,2567,3807,0,69588,8430,-0.1151315351288531,3103,5143,1,clear,,,,,,,,,,,,
163,img_00ec71ecfd73b6eb59d8f832::yaw_plus_35,interior,0.3982,5.3,67791,113.5,229.0,0,nan,False,67791,27996,2.0671354054538367,23974,4022,0,78810,33261,1.919656462939436,27392,5509,5,67791,7713,-0.1100517669381107,3696,4017,0,78810,10085,-0.11283896158970297,4280,5486,5,clear,,,,,,,,,,,,
164,img_876fed3a87ac79c0d63a1017::yaw_plus_35,interior,0.4118,6.78,48805,88.0,170.9,0,nan,False,48805,24849,1.3578608778164005,15258,3217,6374,57714,29696,1.3328789022964473,17042,4541,7768,48805,11164,-0.1237367902062041,3178,2862,5124,57714,14296,-0.12881080352818097,3537,4057,6379,clear,,,,,,,,,,,,
165,img_c0e1cf412031577bfe06ae4a::yaw_plus_35,interior,0.414,7.07,32621,88.5,179.1,0,nan,False,32621,19863,1.3454045905540415,12074,3140,4649,39477,24454,1.2813065260150913,13522,4333,6312,32621,9232,-0.1178150316954305,2939,2740,3553,39477,12482,-0.12508344159723173,3256,3832,5125,clear,,,,,,,,,,,,
166,img_77098503d4402a0360da6d34::yaw_plus_35,interior,0.4163,7.32,29861,95.6,175.9,0,nan,False,29861,16186,1.3331421826495293,9192,2665,4329,36355,19942,1.201379987398285,10226,3782,5736,29861,8481,-0.11864225510492865,2565,2456,3460,36355,11218,-0.1258168663136332,2824,3464,4742,clear,,,,,,,,,,,,
167,img_31fb7f1b070f7fce4248960d::yaw_plus_35,interior,0.4186,7.56,35727,97.1,177.9,0,nan,False,35727,14616,1.287048130527741,7969,2663,3984,43103,17805,-0.108058316620812,8774,3628,5154,35727,8430,-0.11808400101182137,2622,2486,3322,43103,10920,-0.12472031141770756,2894,3383,4402,clear,,,,,,,,,,,,
168,img_4b5896706fe6c5ae2a2b3dee::yaw_minus_35,interior,0.4231,8.07,36335,96.5,189.7,0,nan,False,36335,13396,1.3304462034049465,7574,2898,2924,43318,16102,1.192037929069035,8152,3763,3880,36335,7652,-0.11533187170577097,2701,2565,2386,43318,9834,-0.11993398027496927,2910,3325,3327,clear,,,,,,,,,,,,
169,img_ffa390bbaefb6eec5a6f87fb::yaw_minus_35,interior,0.4253,8.27,33019,89.2,184.1,0,nan,False,33019,13165,1.3343359236372923,7644,2915,2606,39917,16042,1.2112081771943322,8276,3796,3655,33019,7245,-0.11428028119549438,2712,2506,2027,39917,9585,-0.1189003717289232,2954,3289,3062,clear,,,,,,,,,,,,
170,img_296543e0b24fc5e6e262f386::yaw_minus_35,interior,0.4276,8.42,35418,76.8,180.3,0,nan,False,35418,13795,1.338760136708764,8483,3392,1920,42520,16733,1.322636991735056,9406,4411,2553,35418,7782,-0.11341131721094211,3144,3034,1604,42520,9642,-0.11631597943601246,3411,3869,2007,clear,,,,,,,,,,,,
171,img_8123b95a19d4d38c968b46a6::yaw_minus_35,interior,0.4299,8.57,31047,74.7,174.4,0,nan,False,31047,13061,1.3368694421598608,7988,3298,1775,37693,16076,1.3222522047731893,9051,4497,2162,31047,7894,-0.11405728114382185,3071,3105,1718,37693,9465,-0.11604899312395744,3403,3950,1750,clear,,,,,,,,,,,,
172,img_8f0e7759dc55f86773c50f2b::yaw_minus_35,interior,0.4321,8.72,27829,72.1,172.1,0,nan,False,27829,12602,1.3359347328352875,7668,3236,1698,33928,15568,1.3200563039115103,8703,4417,2081,27829,7582,-0.11418120666047482,2893,3077,1612,33928,9130,-0.11613627023522088,3211,3922,1632,clear,,,,,,,,,,,,
173,img_28d49635350a139c44d259ec::yaw_minus_35,interior,0.4344,8.87,25313,74.3,173.1,0,nan,False,25313,11780,1.3340975728398776,7041,3146,1593,31250,14760,1.2871001071392012,8033,4319,1972,25313,7366,-0.11446320539139254,2729,3066,1571,31250,9055,-0.11672068231555777,3032,3932,1655,clear,,,,,,,,,,,,
174,img_aedaf82ed3842144ec0c3951::yaw_minus_35,interior,0.4367,8.98,23708,77.8,176.2,0,nan,False,23708,7579,1.3324724344586496,4551,3026,2,29109,9616,1.2284409334015303,5166,4052,3,23708,4865,-0.11262917363752933,1874,2989,2,29109,6573,-0.11513037303394391,2160,4015,3,clear,,,,,,,,,,,,
175,img_4e8573cfcd31389b1a28d8e3::yaw_minus_35,interior,0.4389,9.14,24477,141.1,183.2,0,nan,False,24477,10644,-0.12377971623587047,3603,2140,4901,29905,13064,-0.12467007304280209,4109,3011,5493,24477,4325,-6.835289748022401,10,48,4267,29905,5622,-6.808034310614704,73,449,4747,occluded,,,,,,,,,,,,
176,img_87edfad3f6901cbaccb73eb1::yaw_minus_35,interior,0.4412,9.31,26751,87.1,184.1,0,nan,False,26751,9677,1.3440976208600368,5916,3031,730,32423,11868,1.3145421194193565,6417,3838,1346,26751,5920,-0.1117846405443732,2579,2627,714,32423,6925,-0.1140084756100812,2681,3042,1183,clear,,,,,,,,,,,,
177,img_f7140eacb75d560d184fb31f::yaw_minus_35,interior,0.4434,9.39,27377,96.2,173.9,0,nan,False,27377,9040,1.3295420539712488,4964,1943,2133,33262,11224,-0.11127521230673487,5331,2413,3457,27377,5688,-0.11861537704077918,1840,1722,2126,33262,7470,-0.12500578979810228,1907,2129,3412,clear,,,,,,,,,,,,
178,img_4af6cd6dac376ccdcc60db74::yaw_minus_35,interior,0.4457,9.36,27786,112.5,182.9,0,nan,False,27786,8612,-1.1958104519111927,2673,1426,4513,33636,10742,-2.691508090408891,2959,1838,5924,27786,6524,-3.471254256617631,834,1177,4513,33636,8361,-3.465840685630953,861,1564,5918,occluded,,,,,,,,,,,,
179,img_ba2f05a90b6e766693a2bd0d::yaw_minus_35,interior,0.448,9.36,27164,113.6,176.2,0,nan,False,27164,8788,-3.517692194077264,982,861,6945,32977,10917,-3.4982987998368174,1246,1265,8359,27164,7681,-3.5758134881875794,89,647,6945,32977,9315,-3.548737539455834,109,1007,8192,occluded,,,,,,,,,,,,
180,img_d1b98043d8de5060ebfdfffe::yaw_minus_35,interior,0.4502,9.34,25660,100.6,154.2,0,nan,False,25660,10102,-3.5832229622436538,630,734,8736,31230,12264,-3.568078266337448,839,1090,10297,25660,8343,-3.6887399049166216,0,26,8317,31230,9452,-3.690662909654571,0,41,9411,occluded,,,,,,,,,,,,
181,img_6140eac6fa52c2bec7a4cf37::yaw_minus_35,interior,0.4525,9.26,25752,94.1,140.1,0,nan,False,25752,10800,-3.725983205077438,117,125,10554,31269,13126,-3.7269109441021886,161,201,12754,25752,8976,-3.729000783084886,0,0,8976,31269,10549,-3.730251975760744,0,0,10549,occluded,,,,,,,,,,,,
