cam_signed_dist_to_plane_m,cam_to_door_centre_m,camera_id,face_id,image_id,in_roi_list,quad_any_inside,quad_fully_inside,sample_id,vis6_delta_p05,vis6_delta_p50,vis6_delta_p95,vis6_n_behind,vis6_n_front,vis6_n_lidar_in_quad,vis6_n_on_leaf,vis6_quad_pixels,vis6_quad_pixels_in_dilated_support,vis6_range_p05,vis6_range_p50,vis6_range_p95,vis6_t_plane_p50,vis6f_delta_p05,vis6f_delta_p50,vis6f_delta_p95,vis6f_n_behind,vis6f_n_front,vis6f_n_lidar_in_quad,vis6f_n_on_leaf,vis6f_quad_pixels,vis6f_quad_pixels_in_dilated_support,vis6f_range_p05,vis6f_range_p50,vis6f_range_p95,vis6f_t_plane_p50
-2.7384908295938315,2.7481401159223555,left,yaw_minus_35,img_09089484c86c6333a69d214c,False,False,False,img_09089484c86c6333a69d214c::yaw_minus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.1013786610771152,7.511463610376992,left,pitch_down_56,img_0a619ec4779c27a97495a4d5,False,False,False,img_0a619ec4779c27a97495a4d5::pitch_down_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.1013786610771152,7.511463610376992,left,pitch_up_56,img_0a619ec4779c27a97495a4d5,False,False,False,img_0a619ec4779c27a97495a4d5::pitch_up_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.1013786610771152,7.511463610376992,left,yaw_minus_35,img_0a619ec4779c27a97495a4d5,False,False,False,img_0a619ec4779c27a97495a4d5::yaw_minus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-3.1013786610771152,7.511463610376992,left,yaw_plus_35,img_0a619ec4779c27a97495a4d5,False,True,True,img_0a619ec4779c27a97495a4d5::yaw_plus_35,-4.292241990827434,-2.5300658724364236,-0.3195539228922556,175,8539,8930,99,16951,16951,3.4617273569107057,4.824583530426025,7.102350616455078,7.50395247480629,-4.4387827586293245,-4.00536592048096,-3.6429675410690816,0,2376,2376,0,16951,16951,3.4526883959770203,3.4910643100738525,3.546765983104706,7.4998017413242275
-2.14802552549129,2.1809261047170265,right,pitch_down_56,img_0b5c7e5b6ece9c8468b97f45,False,False,False,img_0b5c7e5b6ece9c8468b97f45::pitch_down_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.14802552549129,2.1809261047170265,right,yaw_minus_35,img_0b5c7e5b6ece9c8468b97f45,False,False,False,img_0b5c7e5b6ece9c8468b97f45::yaw_minus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.14802552549129,2.1809261047170265,right,yaw_plus_35,img_0b5c7e5b6ece9c8468b97f45,False,False,False,img_0b5c7e5b6ece9c8468b97f45::yaw_plus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.02736977720968,2.0510956602289325,right,pitch_down_56,img_0baaa27b93015822440b687d,False,False,False,img_0baaa27b93015822440b687d::pitch_down_56,,,,,,,,,,,,,,,,,,,,,,,,,,
-2.02736977720968,2.0510956602289325,right,yaw_minus_35,img_0baaa27b93015822440b687d,False,False,False,img_0baaa27b93015822440b687d::yaw_minus_35,,,,,,,,,,,,,,,,,,,,,,,,,,
