region,tile,point_index,n_views,luma_mean_raw,luma_cv_raw,luma_logstd_raw,luma_min_raw,luma_max_raw,rgb_std_mean_raw,range_median_m,n_views_learned,luma_cv_learned,luma_cv_raw_paired_learned,luma_logstd_learned,luma_logstd_raw_paired_learned,rgb_std_mean_learned,n_views_per_camera_mean,luma_cv_per_camera_mean,luma_cv_raw_paired_per_camera_mean,luma_logstd_per_camera_mean,luma_logstd_raw_paired_per_camera_mean,rgb_std_mean_per_camera_mean,n_views_per_camera_time_block_10s,luma_cv_per_camera_time_block_10s,luma_cv_raw_paired_per_camera_time_block_10s,luma_logstd_per_camera_time_block_10s,luma_logstd_raw_paired_per_camera_time_block_10s,rgb_std_mean_per_camera_time_block_10s,n_views_per_camera_time_block_20s,luma_cv_per_camera_time_block_20s,luma_cv_raw_paired_per_camera_time_block_20s,luma_logstd_per_camera_time_block_20s,luma_logstd_raw_paired_per_camera_time_block_20s,rgb_std_mean_per_camera_time_block_20s,n_views_per_camera_time_block_60s,luma_cv_per_camera_time_block_60s,luma_cv_raw_paired_per_camera_time_block_60s,luma_logstd_per_camera_time_block_60s,luma_logstd_raw_paired_per_camera_time_block_60s,rgb_std_mean_per_camera_time_block_60s,n_views_oracle_per_image,luma_cv_oracle_per_image,luma_cv_raw_paired_oracle_per_image,luma_logstd_oracle_per_image,luma_logstd_raw_paired_oracle_per_image,rgb_std_mean_oracle_per_image,n_views_oracle_per_image_tile_views,luma_cv_oracle_per_image_tile_views,luma_cv_raw_paired_oracle_per_image_tile_views,luma_logstd_oracle_per_image_tile_views,luma_logstd_raw_paired_oracle_per_image_tile_views,rgb_std_mean_oracle_per_image_tile_views
indoor_door_leaf_Tile_1,Tile_1,23,127,65.3842,0.455404,0.417668,18.228,189.151,30.3909,6.4033,127,0.343033,0.455404,0.37197,0.417668,23.9908,127,0.458016,0.455404,0.422283,0.417668,34.3973,127,0.386019,0.455404,0.371682,0.417668,27.5216,127,0.387365,0.455404,0.37534,0.417668,27.7113,127,0.474581,0.455404,0.419825,0.417668,35.9477,127,0.17755,0.455404,0.18059,0.417668,12.8147,127,0.17755,0.455404,0.18059,0.417668,12.8147
indoor_door_leaf_Tile_1,Tile_1,24,46,125.008,0.325955,0.561018,15.157,188.579,42.3766,2.41962,46,0.315417,0.325955,0.519173,0.561018,36.3201,46,0.325882,0.325955,0.561681,0.561018,47.2798,46,0.30675,0.325955,0.497687,0.561018,37.3548,46,0.30708,0.325955,0.493796,0.561018,38.0141,46,0.310616,0.325955,0.52435,0.561018,42.7098,46,0.0948005,0.325955,0.10255,0.561018,7.45392,46,0.0948005,0.325955,0.10255,0.561018,7.45392
indoor_door_leaf_Tile_1,Tile_1,25,49,121.074,0.365929,0.682369,11.043,189.754,45.5126,2.82655,49,0.351973,0.365929,0.640059,0.682369,39.4733,49,0.367163,0.365929,0.684442,0.682369,50.9399,49,0.341965,0.365929,0.608041,0.682369,39.9832,49,0.341192,0.365929,0.603645,0.682369,40.5039,49,0.355876,0.365929,0.646997,0.682369,46.7634,49,0.108478,0.365929,0.114472,0.682369,7.99755,49,0.108478,0.365929,0.114472,0.682369,7.99755
indoor_door_leaf_Tile_1,Tile_1,26,56,86.9526,0.434546,0.622297,10.929,172.573,37.4638,3.05692,56,0.385358,0.434546,0.559217,0.622297,30.7595,56,0.43503,0.434546,0.622682,0.622297,41.899,56,0.384607,0.434546,0.539069,0.622297,31.8036,56,0.383305,0.434546,0.53584,0.622297,32.0703,56,0.451614,0.434546,0.599586,0.622297,41.7712,56,0.145577,0.434546,0.141279,0.622297,8.90482,56,0.145577,0.434546,0.141279,0.622297,8.90482
indoor_door_leaf_Tile_1,Tile_1,27,126,64.2537,0.485929,0.448332,17.484,192.439,31.6872,6.43437,126,0.363136,0.485929,0.386355,0.448332,24.6123,126,0.488649,0.485929,0.453371,0.448332,35.8676,126,0.412626,0.485929,0.395311,0.448332,28.632,126,0.415141,0.485929,0.400106,0.448332,28.9064,126,0.50443,0.485929,0.448528,0.448332,37.3655,126,0.172816,0.485929,0.184434,0.448332,12.2003,126,0.172816,0.485929,0.184434,0.448332,12.2003
indoor_door_leaf_Tile_1,Tile_1,28,48,120.183,0.356298,0.680866,10.989,180.489,43.8338,2.82609,48,0.353854,0.356298,0.641908,0.680866,39.2992,48,0.357022,0.356298,0.682877,0.680866,48.9781,48,0.335316,0.356298,0.603569,0.680866,38.3978,48,0.333259,0.356298,0.598083,0.680866,38.7109,48,0.346196,0.356298,0.645529,0.680866,44.9013,48,0.103116,0.356298,0.113054,0.680866,7.49729,48,0.103116,0.356298,0.113054,0.680866,7.49729
indoor_door_leaf_Tile_1,Tile_1,29,53,99.8753,0.48549,0.684309,14.712,163.06,47.7942,2.93957,53,0.477084,0.48549,0.653756,0.684309,44.4948,53,0.483897,0.48549,0.682789,0.684309,53.1754,53,0.432358,0.48549,0.590947,0.684309,40.9727,53,0.434507,0.48549,0.592975,0.684309,41.5109,53,0.475365,0.48549,0.65156,0.684309,50.2006,53,0.132048,0.48549,0.143268,0.684309,10.5998,53,0.132048,0.48549,0.143268,0.684309,10.5998
indoor_door_leaf_Tile_1,Tile_1,30,61,100.348,0.525937,0.714268,15.299,166.771,51.8482,2.94867,61,0.506945,0.525937,0.668743,0.714268,47.4794,61,0.523208,0.525937,0.712708,0.714268,57.6107,61,0.467965,0.525937,0.617096,0.714268,44.5419,61,0.474787,0.525937,0.622323,0.714268,45.5315,61,0.513199,0.525937,0.687187,0.714268,54.7903,61,0.172749,0.525937,0.191119,0.714268,13.0871,61,0.172749,0.525937,0.191119,0.714268,13.0871
indoor_door_leaf_Tile_1,Tile_1,31,57,96.9139,0.529792,0.708531,15.185,171.651,50.1561,2.94624,57,0.503293,0.529792,0.663902,0.708531,45.0281,57,0.525645,0.529792,0.706381,0.708531,55.5118,57,0.471404,0.529792,0.612235,0.708531,43.2452,57,0.479478,0.529792,0.618242,0.708531,44.3941,57,0.503739,0.529792,0.673731,0.708531,51.1058,57,0.153282,0.529792,0.1815,0.708531,11.6636,57,0.153282,0.529792,0.1815,0.708531,11.6636
indoor_door_leaf_Tile_1,Tile_1,32,47,129.461,0.328316,0.632317,12.402,201.416,44.1773,2.73335,47,0.321082,0.328316,0.593796,0.632317,38.5378,47,0.328498,0.328316,0.634589,0.632317,49.2838,47,0.310386,0.328316,0.5607,0.632317,39.2375,47,0.310127,0.328316,0.557273,0.632317,39.7887,47,0.314536,0.328316,0.598877,0.632317,44.5736,47,0.0926655,0.328316,0.10042,0.632317,7.59303,47,0.0926655,0.328316,0.10042,0.632317,7.59303
