region,tile,region_status,x,y,z,n_images_fisheye,n_images_face,n_views_loose_ok,n_effective_views,n_effective_views_le5m,n_strict_occluded,n_strict_supported,n_strict_behind,strict_frac_occluded,strict_support_frac,n_cameras,n_rig_frames,time_span_s,angle_span_deg,range_min_m,range_median_m,footprint_px_per_m_fisheye,footprint_px_per_m_face,n_occluded,n_depth_supported,n_lidar_behind,n_no_lidar,frac_occluded,depth_support_frac,rgb_valid_frac,sharpness_lapvar_median,sharpness_lapvar_best,sharpness_best_image,luma_mean_median,luma_min,luma_max,luma_cv_across_views,sharpness_lapvar_min
indoor_door_leaf_Tile_1,Tile_1,provisional,6.344,-2.463,2.094,601,443,137,57,36,380,58,0,0.86758,0.130926,2,57,175.511,176.533,0.928497,2.94066,288.319,358.559,300,138,0,5,0.684932,0.311512,0.986456,451.972,1681.18,img_df257f89026fc472276ed04c,123.083,14.8486,171.028,0.436145,4.4104
indoor_door_leaf_Tile_1,Tile_1,provisional,6.294,-2.271,2.092,609,444,161,123,32,316,123,2,0.719818,0.277027,2,113,155.01,171.772,0.803763,6.38551,142.391,190.403,280,159,2,3,0.637813,0.358108,0.984234,708.823,2725.6,img_f1799d46a7022022561e4cd1,62.5352,15.717,185.342,0.453779,142.737
indoor_door_leaf_Tile_1,Tile_1,provisional,6.091,-2.403,2.098,603,439,145,61,32,366,63,2,0.853147,0.143508,2,61,176.511,176.59,1.29235,3.18883,270.072,327.803,284,145,2,8,0.662005,0.330296,0.974943,603.587,1282.6,img_a2ef0a0058461539f6d32279,78.5964,16.5242,151.166,0.37094,137.816
indoor_door_leaf_Tile_1,Tile_1,provisional,6.075,-2.519,2.1,602,441,131,53,38,378,53,0,0.87703,0.120181,2,53,172.01,168.686,0.981465,2.93733,293.892,369.444,298,133,0,10,0.691415,0.301587,0.968254,790.808,1426.25,img_a7702c940d1875989ae07bb5,89.5024,20.1348,194.152,0.411234,122.915
indoor_door_leaf_Tile_1,Tile_1,provisional,6.271,-2.253,2.103,609,444,159,123,33,315,124,1,0.71754,0.279279,2,113,155.51,171.384,0.89056,6.20936,145.214,192.215,280,159,1,4,0.637813,0.358108,0.986486,707.954,2199.2,img_426186dbb8206cf129f21911,63.5549,14.8486,183.421,0.471351,145.169
indoor_door_leaf_Tile_1,Tile_1,provisional,6.375,-2.458,2.106,600,441,140,59,37,379,61,0,0.861364,0.138322,2,59,175.511,176.7,0.932094,2.94035,289.147,360.141,297,143,0,1,0.675,0.324263,0.99093,458.508,1349.53,img_1a265d9e130f6059a7c5e9a6,121.192,15.9395,227.785,0.450265,4.48071
indoor_door_leaf_Tile_1,Tile_1,provisional,6.402,-2.282,2.109,603,443,161,128,32,312,128,2,0.709091,0.288939,2,118,191.512,172.198,0.969382,6.58648,139.715,187.589,280,160,2,1,0.636364,0.361174,0.988713,658.634,2170.69,img_4482606b56ce83da57f0a986,62.2327,16.3718,172.77,0.430724,7.63307
indoor_door_leaf_Tile_1,Tile_1,provisional,6.063,-2.272,2.11,605,439,164,115,30,322,115,0,0.736842,0.261959,2,105,156.01,171.462,0.845359,6.28726,143.256,193.552,272,165,0,2,0.622426,0.375854,0.993166,663.378,2210.18,img_39bde7ed1336ec78411af4c0,63.2842,16.0193,161.982,0.378547,205.266
indoor_door_leaf_Tile_1,Tile_1,provisional,6.067,-2.269,2.109,604,439,160,113,27,321,113,3,0.739631,0.257403,2,103,156.01,171.459,1.1446,6.39274,140.664,192.795,276,158,3,2,0.635945,0.359909,0.993166,663.378,2958.35,img_98bb570ecf462a8b29f1009a,63.0747,16.0193,164.318,0.3541,168.223
indoor_door_leaf_Tile_1,Tile_1,provisional,6.292,-2.469,2.111,601,443,140,61,38,377,61,0,0.860731,0.137698,2,61,175.011,173.346,0.948725,2.97054,286.453,357.049,298,140,0,5,0.680365,0.316027,0.986456,414.193,1524.35,img_af58ddf11594de171687a482,111.566,15.2893,165.843,0.40556,4.69521
indoor_door_leaf_Tile_1,Tile_1,provisional,6.088,-2.471,2.123,602,439,129,50,32,375,54,0,0.874126,0.123007,2,50,174.011,172.315,0.985152,3.1135,276.402,338.799,296,133,0,10,0.689977,0.302961,0.963554,699.539,1083.57,img_4e61dfa73359cbec43694b5d,77.5695,17.8286,151.37,0.378694,27.7683
indoor_door_leaf_Tile_1,Tile_1,provisional,6.132,-2.27,2.122,603,442,160,114,26,319,114,6,0.736721,0.257919,2,104,156.01,171.096,1.40127,6.32074,142.037,192.863,279,154,6,3,0.644342,0.348416,0.99095,678.599,2197.52,img_39bde7ed1336ec78411af4c0,63.2003,18.6357,167.21,0.363966,112.295
indoor_door_leaf_Tile_1,Tile_1,provisional,6.095,-2.27,2.122,604,440,162,112,27,324,112,3,0.743119,0.254545,2,102,156.01,171.213,1.17163,6.36598,141.328,192.726,277,159,3,1,0.635321,0.361364,0.990909,669.901,2197.52,img_39bde7ed1336ec78411af4c0,63.0116,16.5571,165.439,0.350248,146.055
indoor_door_leaf_Tile_1,Tile_1,provisional,6.097,-2.37,2.143,603,439,158,66,34,366,67,0,0.845266,0.15262,2,66,177.511,176.779,0.91362,3.21197,268.217,324.814,274,159,0,6,0.632794,0.362187,0.974943,589.139,1405.6,img_2e52f81e7ee67150f3fdea5c,67.7842,15.7322,164.68,0.435688,32.4214
indoor_door_leaf_Tile_1,Tile_1,provisional,6.24,-2.462,2.153,603,442,143,66,42,371,68,0,0.845103,0.153846,2,66,175.511,173.076,1.03794,3.04433,282.434,343.733,291,148,0,3,0.66287,0.334842,0.972851,509.452,1650.52,img_df257f89026fc472276ed04c,94.7841,17.5728,215.789,0.413597,30.455
indoor_door_leaf_Tile_1,Tile_1,provisional,6.14,-2.27,2.156,603,442,162,119,31,318,119,2,0.727689,0.269231,2,109,156.01,170.628,0.867809,6.2044,144.369,193.973,277,160,2,3,0.633867,0.361991,0.988688,684.155,2044,img_d92232056a803e065181c4fc,63.4229,18.3599,167.519,0.376465,98.1434
indoor_door_leaf_Tile_1,Tile_1,provisional,6.118,-2.263,2.167,603,441,166,118,28,317,118,4,0.728736,0.267574,2,108,156.01,170.537,1.28752,6.2654,142.386,194.156,273,162,4,2,0.627586,0.367347,0.988662,655.154,2271.85,img_39bde7ed1336ec78411af4c0,63.2263,17.5293,168.805,0.356356,82.83
indoor_door_leaf_Tile_1,Tile_1,provisional,6.137,-2.397,2.172,604,440,155,72,42,359,74,0,0.829099,0.168182,2,72,177.011,174.05,0.9533,3.80954,210.992,303.406,275,158,0,7,0.635104,0.359091,0.970455,566.111,1667.19,img_df257f89026fc472276ed04c,78.5413,15.7141,216.79,0.461898,66.6763
indoor_door_leaf_Tile_1,Tile_1,provisional,6.151,-2.392,2.173,603,440,154,71,41,361,73,1,0.831797,0.165909,2,71,177.011,173.934,0.951522,3.77991,212.147,306.34,279,155,1,5,0.642857,0.352273,0.975,558.727,1715.18,img_df257f89026fc472276ed04c,79.0505,16.0073,218.154,0.450481,49.5644
indoor_door_leaf_Tile_1,Tile_1,provisional,6.369,-2.452,2.178,600,442,159,76,52,361,77,0,0.824201,0.174208,2,76,176.011,174.804,1.01684,2.98164,288.138,357.031,278,160,0,4,0.634703,0.361991,0.988688,544.552,1712.68,img_df257f89026fc472276ed04c,110.314,15.3145,219.332,0.413226,4.60252
indoor_door_leaf_Tile_1,Tile_1,provisional,6.108,-2.26,2.177,603,439,167,119,29,317,119,2,0.727064,0.271071,2,109,192.512,170.429,1.21074,6.19098,144.507,195.019,271,165,2,1,0.62156,0.375854,0.990888,647.903,1988.86,img_d92232056a803e065181c4fc,62.8931,17.0042,143.925,0.331736,158.942
indoor_door_leaf_Tile_1,Tile_1,provisional,6.362,-2.271,2.182,604,441,167,130,34,311,130,0,0.705215,0.294785,2,120,155.01,170.648,0.871758,6.3961,141.902,191.66,274,167,0,0,0.621315,0.378685,0.993197,653.182,2198.37,img_d92232056a803e065181c4fc,61.8728,15.9905,153.819,0.424875,126.666
indoor_door_leaf_Tile_1,Tile_1,provisional,6.358,-2.452,2.19,600,441,155,71,48,366,71,0,0.837529,0.160998,2,71,175.511,173.219,1.10006,3.04785,286.347,350.579,282,155,0,4,0.645309,0.351474,0.99093,523.74,1731.62,img_df257f89026fc472276ed04c,110.391,14.8457,217.467,0.419113,4.65192
