image_id,camera,tile,environment,timestamp_ns,time_s,log_gain,log_gain_raw,saturated_clamp,tile_offset,curve_log_gain,fitted_log_gain,residual,huber_weight
img_20db9aea57590d693ed1f417,right,Tile_0,outdoor,1772726404844192000,24.501505024,-0.0606358,-0.0606358,0,-0.1144026145244325,-0.028021286284329747,-0.14242390080876224,0.08178810080876225,1.0
img_21571925b3bdee2457e819f8,left,Tile_0,outdoor,1772726421845287936,41.50260096,-0.197889,-0.197889,0,-0.1144026145244325,-0.17101184951892862,-0.2854144640433611,0.08752546404336112,1.0
img_219ea8f06811fd11b0b0b7e9,left,Tile_0,outdoor,1772726418345032960,38.002345984,-0.307003,-0.307003,0,-0.1144026145244325,-0.14455388562943428,-0.2589565001538668,-0.04804649984613324,1.0
img_21b946b919113ef2ad217f20,left,Tile_0,covered,1772726510350723072,130.008036096,-0.0446899,-0.0446899,0,-0.1144026145244325,0.1113501317459725,-0.00305248277846,-0.04163741722154,1.0
img_21d4e3abf4b931012a5defa6,left,Tile_0,covered,1772726484349094912,104.006407936,-0.0336719,-0.0336719,0,-0.1144026145244325,0.057794100464280865,-0.05660851406015163,0.02293661406015164,1.0
img_22d548c6b36b38776c5e943b,right,Tile_0,covered,1772726490349437952,110.006750976,-0.308136,-0.308136,0,-0.1144026145244325,-0.2657556802815604,-0.3801582948059929,0.07202229480599287,1.0
img_22e44fb6ad093ee3fb1939ad,left,Tile_0,covered,1772726482849031936,102.50634496,-0.19459,-0.19459,0,-0.1144026145244325,0.053054316434550094,-0.0613482980898824,-0.13324170191011764,1.0
img_231b7c7f9d8a8a43c94a9fd3,left,Tile_0,indoor,1772726567854188032,187.511501056,0.251996,0.251996,0,-0.1144026145244325,0.08347918111953473,-0.030923433404897768,0.2829194334048978,0.5301862731547633
img_23bcc9a1d7f545975441d295,left,Tile_0,outdoor,1772726432846009856,52.50332288,-0.291065,-0.291065,0,-0.1144026145244325,-0.1857534219790468,-0.3001560365034793,0.00909103650347931,1.0
img_23c65376ef8846d50e306c49,right,Tile_0,indoor,1772726536852359168,156.509672192,-0.192325,-0.192325,0,-0.1144026145244325,0.028380303294641432,-0.08602231122979107,-0.10630268877020893,1.0
img_23dfbf209861f4b03fe77515,left,Tile_0,covered,1772726488349326848,108.006639872,-0.0331413,-0.0331413,0,-0.1144026145244325,0.07043372676585796,-0.043968887758574535,0.010827587758574536,1.0
img_23f736d972ccf1608ccbe107,right,Tile_0,outdoor,1772726425345463040,45.002776064,-0.439778,-0.439778,0,-0.1144026145244325,0.06569163842709859,-0.04871097609733391,-0.3910670239026661,0.3835659639697311
img_24360a542c1b719c91d5a0e8,right,Tile_0,indoor,1772726541352529920,161.009842944,-0.164159,-0.164159,0,-0.1144026145244325,-0.10492137088749544,-0.21932398541192794,0.05516498541192791,1.0
img_245cad044e9f3a264ef1987a,left,Tile_0,stationary_unresolved,1772726599856021760,219.513334784,-0.186272,-0.186272,0,-0.1144026145244325,0.07868645837442265,-0.03571615615000985,-0.15055584384999016,0.9963080552984447
img_2461a33a99ca0046b9a7c112,right,Tile_0,covered,1772726511350733056,131.00804608,-0.222345,-0.222345,0,-0.1144026145244325,-0.04941322103728696,-0.16381583556171947,-0.05852916443828052,1.0
img_246e9ec9e0ed774cd0cbefb4,right,Tile_0,stationary_unresolved,1772726383342850816,3.00016384,-0.0653115,-0.0653115,0,-0.1144026145244325,0.08086964325920187,-0.033532971265230624,-0.031778528734769364,1.0
img_24c2a995e3fcebf84f29eaa8,right,Tile_0,outdoor,1772726593355615744,213.012928768,-0.419065,-0.419065,0,-0.1144026145244325,-0.13722827443042976,-0.25163088895486224,-0.16743411104513778,0.8958747955460653
img_24d4e5bc6fa22cd9ea92ff2e,right,Tile_0,outdoor,1772726418345015040,38.002328064,-0.0289049,-0.0289049,0,-0.1144026145244325,0.02409074130507278,-0.09031187321935971,0.06140697321935973,1.0
img_2528134f0c15a2a2a931c0df,right,Tile_0,outdoor,1772726432345931008,52.003244032,-0.125744,-0.125744,0,-0.1144026145244325,0.09035109495939506,-0.02405151956503744,-0.10169248043496255,1.0
img_2583dd744e4c06e135d8853a,right,Tile_0,outdoor,1772726412344637952,32.001950976,-0.31961,-0.31961,0,-0.1144026145244325,-0.027723196868711907,-0.1421258113931444,-0.1774841886068556,0.8451457066537025
img_25873a17d1cb3eab2998efaa,left,Tile_0,covered,1772726505350363136,125.00767616,-0.0372893,-0.0372893,0,-0.1144026145244325,0.08203585206279096,-0.03236676246164154,-0.0049225375383584735,1.0
img_26e10d650ada982eed86237e,right,Tile_0,outdoor,1772726517351086848,137.008399872,-0.116644,-0.116644,0,-0.1144026145244325,0.004357314502552983,-0.11004530002187951,-0.006598699978120487,1.0
img_26f74b29376a0bc5d2f9d8b7,left,Tile_0,outdoor,1772726478848760832,98.506073856,-0.15534,-0.15534,0,-0.1144026145244325,0.01978541823101911,-0.09461719629341339,-0.060722803706586614,1.0
img_27c0b49a4b63e69324d8c3d1,right,Tile_0,indoor,1772726550853093888,170.510406912,-0.329752,-0.329752,0,-0.1144026145244325,-0.283840793947387,-0.3982434084718195,0.0684914084718195,1.0
img_282eaf688d90268d18f5fd7a,left,Tile_0,covered,1772726484849123840,104.506436864,-0.0595342,-0.0595342,0,-0.1144026145244325,0.05937405354975566,-0.055028560974676836,-0.004505639025323159,1.0
img_28ae3ec748a5e0d8c78031df,right,Tile_0,outdoor,1772726419845116928,39.502429952,-0.125752,-0.125752,0,-0.1144026145244325,0.037044291613544666,-0.07735832291088783,-0.04839367708911217,1.0
img_28d49635350a139c44d259ec,right,Tile_0,outdoor,1772726476348654080,96.005967104,-0.127285,-0.127285,0,-0.1144026145244325,0.043862810179797,-0.0705398043446355,-0.05674519565536451,1.0
img_296543e0b24fc5e6e262f386,right,Tile_0,outdoor,1772726474848523008,94.505836032,-0.182454,-0.182454,0,-0.1144026145244325,0.055219595799209084,-0.05918301872522341,-0.12327098127477659,1.0
img_298eb4ad7a7fb190d39583ea,right,Tile_0,outdoor,1772726403344114176,23.0014272,-0.169342,-0.169342,0,-0.1144026145244325,-0.023386418111155875,-0.13778903263558837,-0.03155296736441163,1.0
img_29f0cdf6a31f8207e452d529,left,Tile_0,outdoor,1772726450347032064,70.004345088,-0.267109,-0.267109,0,-0.1144026145244325,-0.09004198052036379,-0.20444459504479628,-0.0626644049552037,1.0
img_2a01d8380fb472ce1a05426b,left,Tile_0,outdoor,1772726454847305984,74.504619008,-0.117624,-0.117624,0,-0.1144026145244325,-0.09915970317115977,-0.21356231769559225,0.09593831769559225,1.0
img_2a2ffa54460f316927e5ffa5,left,Tile_0,indoor,1772726537852345856,157.50965888,-0.495052,-0.495052,0,-0.1144026145244325,-0.016997394899816935,-0.13140000942424943,-0.3636519905757506,0.41248227395239356
img_2a571292a4944bb3c65b1e06,left,Tile_0,outdoor,1772726449346968832,69.004281856,-0.344771,-0.344771,0,-0.1144026145244325,-0.1032838204084713,-0.2176864349329038,-0.1270845650670962,1.0
img_2b03f8db151c2afacd17aa26,left,Tile_0,indoor,1772726559853716736,179.51102976,0.351759,0.351759,0,-0.1144026145244325,0.24975636043257063,0.13535374590813815,0.21640525409186187,0.6931439840935031
img_2b193a1fc7e61ea656b8c654,right,Tile_0,outdoor,1772726504850352896,124.50766592,-0.260225,-0.260225,0,-0.1144026145244325,-0.11281405052399268,-0.2272166650484252,-0.03300833495157479,1.0
img_2b4f13c695909781ea9270a7,left,Tile_0,outdoor,1772726423345303040,43.002616064,-0.207156,-0.207156,0,-0.1144026145244325,-0.17141212221198995,-0.28581473673642244,0.07865873673642243,1.0
img_2bd2f89c0ed9038a7ebb2598,right,Tile_0,outdoor,1772726441846484992,61.503798016,-0.0355336,-0.0355336,0,-0.1144026145244325,0.08762815090342871,-0.02677446362100379,-0.00875913637899621,1.0
img_2c358f7a9417c85d1593883a,right,Tile_0,indoor,1772726547852914944,167.510227968,-0.325848,-0.325848,0,-0.1144026145244325,-0.248265050496977,-0.3626676650214095,0.03681966502140949,1.0
img_2c48bbf509b38c8a6870501a,left,Tile_0,indoor,1772726582855049728,202.512362752,-0.160634,-0.160634,0,-0.1144026145244325,-0.02838980702218379,-0.14279242154661628,-0.017841578453383716,1.0
img_2cb25c84f93cba5efbbe84c5,right,Tile_0,outdoor,1772726405844225792,25.501538816,-0.198477,-0.198477,0,-0.1144026145244325,-0.031111142504108895,-0.14551375702854139,-0.0529632429714586,1.0
img_2d1f1a8a27f682dc4d1d2341,right,Tile_0,indoor,1772726537852328960,157.509641984,-0.258017,-0.258017,0,-0.1144026145244325,-0.0034303764710440707,-0.11783299099547656,-0.14018400900452344,1.0
img_2e26d35424d8cce53de1db47,left,Tile_0,covered,1772726480848880128,100.506193152,-0.192313,-0.192313,0,-0.1144026145244325,0.046734390039276194,-0.0676682244851563,-0.12464477551484371,1.0
img_2e52f81e7ee67150f3fdea5c,right,Tile_0,indoor,1772726528851806976,148.50912,0.442272,0.442272,0,-0.1144026145244325,0.2050052861955334,0.0906026716711009,0.3516693283288991,0.42653705602585945
img_2f10fcf8c5f46899fd84dae9,left,Tile_0,covered,1772726506850470144,126.507783168,-0.0422576,-0.0422576,0,-0.1144026145244325,0.09086164748269086,-0.023540967041741634,-0.018716632958258365,1.0
img_2f7b071dd4a79eebbbade4ce,left,Tile_0,outdoor,1772726447846873088,67.504186112,-0.362323,-0.362323,0,-0.1144026145244325,-0.12324653132903826,-0.23764914585347074,-0.12467385414652923,1.0
img_2f8a2aae4ed7883e440a4072,left,Tile_0,indoor,1772726538352443904,158.009756928,-0.235763,-0.235763,0,-0.1144026145244325,-0.016542622955879188,-0.13094523748031167,-0.1048177625196883,1.0
img_2fa0e87e84861be1dfacfe33,left,Tile_0,outdoor,1772726445846744064,65.504057088,-0.325863,-0.325863,0,-0.1144026145244325,-0.14986349739247076,-0.26426611191690325,-0.06159688808309677,1.0
