image_id,camera_id,timestamp,source_path,raw_x,raw_y,raw_z,pos_diff_raw_minus_corrected_x,pos_diff_raw_minus_corrected_y,pos_diff_raw_minus_corrected_z,pos_correction_norm_m,corrected_x,corrected_y,corrected_z,mvs_center_x,mvs_center_y,mvs_center_z,rotation_correction_deg,raw_w2c_00,raw_w2c_01,raw_w2c_02,raw_w2c_10,raw_w2c_11,raw_w2c_12,raw_w2c_20,raw_w2c_21,raw_w2c_22,optimized_w2c_00,optimized_w2c_01,optimized_w2c_02,optimized_w2c_10,optimized_w2c_11,optimized_w2c_12,optimized_w2c_20,optimized_w2c_21,optimized_w2c_22,delta_w2c_00,delta_w2c_01,delta_w2c_02,delta_w2c_10,delta_w2c_11,delta_w2c_12,delta_w2c_20,delta_w2c_21,delta_w2c_22
264,2,1771971761.894634,G:/S1/USA/2026-02-24_16-21-11snow/camera/right/1771971761894633984.jpg,7.797927813579,-11.361328936908,1.790849504607,0.013793333416152187,0.0064827297943592654,-0.0025147189033618567,0.01544686516671714,7.784134480162848,-11.367811666702359,1.793364223510362,5.017113606,-7.144927121,0.378323332,0.4726605337248732,0.9010375267376652,-0.3044182467936669,0.3089674844211624,0.14526499029294065,-0.45940020349274113,-0.8762702412075966,0.40869237576160256,0.8344345295167847,-0.3697155094724036,0.8986365071376126,-0.3048824439337486,0.3154348164367661,0.1486307790694975,-0.4649128585245329,-0.8727914558998283,0.41274849430701244,0.8312055879020138,-0.3724727521413639,0.9999760966212476,-0.005802662413563248,-0.0037596934778588585,0.005785686320088935,0.9999730900765971,-0.0045105383788453385,0.003785765436311199,0.004488678154615601,0.9999827597256291
265,2,1771971762.3947031,G:/S1/USA/2026-02-24_16-21-11snow/camera/right/1771971762394703104.jpg,7.433184541833,-11.351832656903,1.842504199639,0.014461058116680192,0.009549601104768435,-0.008234709884845648,0.019186649785769564,7.418723483716319,-11.361382258007769,1.8507389095238456,4.65170261,-7.138497712,0.435698018,0.4592581644812128,0.8734760241308346,-0.3840825496575975,0.2991993153687168,0.10257427789260615,-0.4555709258211371,-0.884270122225829,0.4759392322381084,0.8030789043394125,-0.358533290813571,0.8748553994641055,-0.37868708112401506,0.30203331706663517,0.10441674868197887,-0.461443758892204,-0.8810032916931231,0.472995954129827,0.8022878236451102,-0.364155290237019,0.999980477338685,-0.0048225531941363375,0.003973401840506387,0.004842440218138527,0.9999757214756902,-0.005010711716586886,-0.00394914094837943,0.005029854855034254,0.9999795522138978
266,2,1771971762.8947902,G:/S1/USA/2026-02-24_16-21-11snow/camera/right/1771971762894790144.jpg,7.125514446345,-11.221289935307,1.879854215718,0.009381335247437228,0.002470003749047933,-0.00314372893989856,0.010197715488906066,7.116133111097563,-11.223759939056048,1.8829979446578986,4.349112237,-7.000875394,0.467957053,1.0988690563337087,0.8596176299569922,-0.413876522194664,0.2996059990106563,0.09743419074465678,-0.4428379513423544,-0.8912918306171331,0.501561669928093,0.7953620390909768,-0.3403455861796745,0.8506205033029689,-0.42099323699207125,0.314975322473907,0.10724438013484996,-0.4475445850977591,-0.8878076859766232,0.5147265315583565,0.7889667538981681,-0.33554144148419557,0.9998160939893729,-0.011423628798297883,-0.015403860065326475,0.011424847598675585,0.9999347342594724,-8.876098106125076e-06,0.015402956118242104,-0.00016711228793938595,0.9998813534696519
267,2,1771971763.394737,G:/S1/USA/2026-02-24_16-21-11snow/camera/right/1771971763394736896.jpg,6.803131586901,-11.189182542124,1.897756326876,0.004512329556265904,0.00353858339665436,0.00011892028324855808,0.00573557604022444,6.798619257344734,-11.192721125520654,1.8976374065927515,4.031598384,-6.96983658,0.482596515,0.277896442719973,0.8694389563555595,-0.4035847595579528,0.28494778999652737,0.0910055378211791,-0.4360674345968243,-0.8953006112865236,0.48558613371598003,0.8043410559810398,-0.3424055671365065,0.8681118793893832,-0.40756382636351185,0.28332577062979336,0.08745399604534734,-0.43628159990592985,-0.8955502019201507,0.48860368750013905,0.8022157397006464,-0.3430981543783225,0.9999898874736285,0.0030665650315081444,-0.0032895485081786734,-0.003072535219707111,0.9999936391943756,-0.0018113801680782029,0.0032839728689177893,0.0018214691040969579,0.9999929488613905
268,2,1771971763.8947551,G:/S1/USA/2026-02-24_16-21-11snow/camera/right/1771971763894755072.jpg,6.470429608862,-11.266651422749,1.90760969206,0.0028877789395247433,0.007388941516224712,-0.003961864496710099,0.008867473948314919,6.467541829922475,-11.274040364265225,1.9115715565567102,3.700520956,-7.051155819,0.496530665,0.5829098558262489,0.8659022462781036,-0.39768918123841956,0.3034083304994275,0.09463117373724048,-0.46536717100270364,-0.8800445085960441,0.4911804565001,0.790744403254842,-0.36532868471213376,0.8701117194425331,-0.3898238202901858,0.3015675460375713,0.09386507016119847,-0.4696079135016003,-0.8778711501013725,0.48383359152955785,0.7921526347308567,-0.3720205088386533,0.9999585139726981,-0.0016419611298638275,0.008959592466212848,0.0016825416772977544,0.9999883528506112,-0.004523628701120405,-0.00895206049000793,0.004538515921472715,0.9999496299745372
269,2,1771971764.3948572,G:/S1/USA/2026-02-24_16-21-11snow/camera/right/1771971764394857216.jpg,6.117825713018,-11.295076869873,1.860651730641,0.006770952516391926,0.009366098730832384,-0.005888926490399626,0.012971085483654195,6.111054760501608,-11.304442968603833,1.8665406571313996,3.344033887,-7.081558423,0.451499766,1.1167595281357603,0.8620216614084522,-0.4147929984181148,0.29131670691177625,0.0711441771846994,-0.470032132555108,-0.879777415269572,0.5018537250188784,0.7791126765937048,-0.3756677732460809,0.8709105328431813,-0.39785641971207897,0.28848763071697253,0.07414505417901407,-0.47392901662697495,-0.8774359225264142,0.48581617379786496,0.785558117832713,-0.383250686605423,0.9998130682971177,-0.0048393874207960244,0.018719209163177722,0.004885337156173491,0.9999851632217643,-0.002409733846581317,-0.0187072697947579,0.0025007330389889395,0.9998218763315262
270,2,1771971764.894881,G:/S1/USA/2026-02-24_16-21-11snow/camera/right/1771971764894881024.jpg,5.865424037231,-11.418598549847,1.790406534995,-0.010397398927247004,0.008635990566278728,0.0014385206405420625,0.013592482449738085,5.875821436158247,-11.427234540413277,1.788968014354458,3.108800562,-7.204349995,0.373927123,0.39819224473104525,0.8238714214304679,-0.4569063144444689,0.33536920068919956,0.06975973572741773,-0.5054678408848108,-0.8600208375978395,0.5624672970239082,0.7319418567427476,-0.384566844809324,0.82489710193207,-0.45683492048223473,0.3329363702752556,0.06439683432901502,-0.5091950396887873,-0.8582385794665349,0.56160290148153,0.7293985652469607,-0.39061478986746295,0.9999965121092937,0.0021277486991236323,0.001564753884870506,-0.002117646044449066,0.9999770854168106,-0.006429946852988919,-0.0015783993402397971,0.006426610831162135,0.9999781034246442
271,2,1771971765.394916,G:/S1/USA/2026-02-24_16-21-11snow/camera/right/1771971765394916096.jpg,5.595249237254,-11.660040663957,1.719014858772,-0.028101331571808164,0.011111780743421562,-0.0017586848582777925,0.030269613143040202,5.623350568825808,-11.671152444700422,1.7207735436302778,2.856329695,-7.448267899,0.305732652,0.45122351331959154,0.7766955420381556,-0.4752436028599726,0.41338547739214115,0.08010804481093362,-0.5764366884869032,-0.813205659918094,0.6247613433420999,0.6647287131656988,-0.40964497038099856,0.7717672092443887,-0.4790867874423164,0.41815215512218756,0.08200916901165273,-0.5770931099473139,-0.8125503299176956,0.6305948548260979,0.6613920112531889,-0.40609202961559643,0.9999691101257797,-0.002055735819475318,-0.0075863525160911405,0.0020594586964636837,0.9999977626901155,0.00048295407822538874,0.007585342717072258,-0.0004985629394983492,0.9999711065880156
272,2,1771971765.894937,G:/S1/USA/2026-02-24_16-21-11snow/camera/right/1771971765894937088.jpg,5.255480528093,-11.739068514808,1.672425549304,-0.021266191142715662,0.00625646474803343,0.0021521456237765246,0.022271640434594026,5.276746719235716,-11.745324979556035,1.6702734036802234,2.509725845,-7.522440434,0.255232512,0.47757210328592503,0.7998388950914082,-0.4650801219481273,0.37941826796778044,0.06540470237422744,-0.5608387168984186,-0.8253376027633024,0.5966405675164019,0.6849528551633688,-0.4181621926923276,0.795196269379648,-0.4691663406211698,0.38411695874151525,0.06508908081644546,-0.5637798729726445,-0.8233563422901528,0.6028484923454323,0.6797317115296956,-0.4177780458781314,0.9999698355742348,-0.0018899460946773645,-0.00753366082308137,0.0018671532447416088,0.9999936622954587,-0.0030313540996244263,0.007539342172807122,0.003017196161318184,0.9999670268798496
273,2,1771971766.394962,G:/S1/USA/2026-02-24_16-21-11snow/camera/right/1771971766394962176.jpg,4.900057383698,-11.770122115437,1.695545628805,-0.0039551098237584625,0.006855893885528097,-0.005292286745168795,0.009521264290035308,4.904012493521758,-11.776978009322526,1.7008379155501687,2.13699162,-7.554093464,0.285797024,0.6098846099533725,0.7266018284109583,-0.5560955860196789,0.4034940918517673,0.007102859093701563,-0.5811661749249852,-0.8137539102921456,0.6870220755860379,0.5941410407744041,-0.4183265367209701,0.7300802071977024,-0.5482491399793059,0.4079286353887307,0.00998097551392613,-0.5883254739701883,-0.8085626239231838,0.6832885709463835,0.5943870937273998,-0.42405272269417676,0.9999533344945857,-0.0081440097412068,0.005196531390794216,0.008167152630333817,0.9999567557144448,-0.004447956716985623,-0.005160082467675349,0.004490190015854451,0.9999766055976256
274,2,1771971766.894994,G:/S1/USA/2026-02-24_16-21-11snow/camera/right/1771971766894993920.jpg,4.548873750745,-11.738027883042,1.761705868322,-0.029379170233437613,0.0019468029859917024,0.0022772444700429606,0.029531534464837993,4.5782529209784375,-11.739974686027992,1.759428623851957,1.811232047,-7.517090141,0.344387733,0.39453188476959916,0.623477773249703,-0.6890965644847693,0.3693526649137382,-0.056592417575187626,-0.5109509047506502,-0.8577449919454428,0.779790205463359,0.5138823773489226,-0.3575641728608059,0.6194448964220329,-0.6937937562158885,0.3673394127132905,-0.06105522147459858,-0.5090837721777288,-0.8585487597312003,0.7826623028020352,0.5093956583453993,-0.35770907597022583,0.9999788095549558,0.004355121606720648,-0.0048387350458953945,-0.0043659674527338,0.9999879755773288,-0.002233165680779345,0.004828951154791962,0.0022542441187275316,0.999985799706275
275,2,1771971767.394974,G:/S1/USA/2026-02-24_16-21-11snow/camera/right/1771971767394973952.jpg,4.202130988821,-11.622152511827,1.797721475494,-0.02534260522324283,0.003941468723318131,-0.00022268871048636285,0.025648243711018655,4.227473594044243,-11.62609398055032,1.7979441642044864,1.46045272,-7.403209435,0.382903273,0.23223412948622268,0.5384327212816375,-0.7632907856966311,0.3570397472605395,-0.07618458746411233,-0.4660596937550614,-0.8814671125401455,0.83921756016314,0.44740981027192295,-0.3090927828116803,0.5406362572484069,-0.7607964119746735,0.3590282118091794,-0.07353051461699062,-0.46787788423974963,-0.8807289871802197,0.838036813492459,0.4497544941029476,-0.30889349987593956,0.9999924842688585,-0.003083168635634835,0.0023506333105907202,0.003080387801113862,0.9999945526258183,0.001185719057900747,-0.002354276277621839,-0.0011784692841803094,0.9999965342906719
276,2,1771971767.8950481,G:/S1/USA/2026-02-24_16-21-11snow/camera/right/1771971767895048192.jpg,3.79393352771,-11.586739591008,1.805148726436,-0.038371948689791546,0.00856071388895785,-0.005677829327863759,0.039723167225398086,3.8323054763997915,-11.595300304896957,1.8108265557638639,1.065284603,-7.372415759,0.395785665,0.29192368832538096,0.4921645992586797,-0.802660972505992,0.33691151724492635,-0.13628506979248012,-0.45330645887305376,-0.8808743577239784,0.8597676354621648,0.38761916562485355,-0.3324920983303068,0.49654329881500325,-0.8006456714858443,0.3352778864358572,-0.13645282374375028,-0.45345633865442925,-0.8807712392139496,0.8572195630608712,0.39159144227766396,-0.3344110689564982,0.9999870484011865,-7.127685394330482e-05,0.005089002799456471,7.24819085467752e-05,0.999999969380618,-0.00023661178359991219,-0.005088985778691044,0.00023697757973455442,0.9999870229484835
277,2,1771971768.395035,G:/S1/USA/2026-02-24_16-21-11snow/camera/right/1771971768395035136.jpg,3.390204795172,-11.483945262656,1.796739103633,-0.04597103834267169,0.006606251370442351,-0.004989862040275517,0.04671057317839126,3.436175833514672,-11.490551514026443,1.8017289656732756,0.66915496,-7.267666969,0.386688074,0.6652321892118591,0.4771225994641649,-0.802810638253376,0.35755993090356925,-0.1364281702375828,-0.46958350009307237,-0.8722836068653158,0.868182803012236,0.3674049748541067,-0.33357488665406154,0.4862383671746464,-0.796127725889163,0.3602122906813195,-0.1331235666734742,-0.4749019894799366,-0.869911614121878,0.8636262885551058,0.3750316579417635,-0.336898930330723,0.9999326032244951,-0.0066954428414946155,0.009484727399391189,0.006694570463365779,0.9999775834581756,0.00012372331515270413,-0.009485343166987561,-6.0218800699194426e-05,0.9999550113073591
278,2,1771971768.895065,G:/S1/USA/2026-02-24_16-21-11snow/camera/right/1771971768895065088.jpg,3.06330074011,-11.455925382627,1.866103878324,-0.03106136228365286,0.013906309751610557,-0.0046316712229016455,0.03434597583620425,3.094362102393653,-11.469831692378612,1.8707355495469016,0.327341229,-7.246947147,0.455694658,0.6537724395176833,0.423878112052412,-0.8441155494849544,0.32832344607200437,-0.21242325315455307,-0.4450418631032971,-0.869950631705491,0.8804565336472434,0.29900949684459815,-0.36795327577645076,0.4308023930828323,-0.8416529254424887,0.3256219452190002,-0.21960333133421212,-0.44774568593757336,-0.8667745829171551,0.8753191846298247,0.3019009006584654,-0.37771969924877646,0.9999693458540893,-0.00021667672059622292,0.007826902538273988,0.0002816321973617688,0.9999655242667546,-0.008298853006306702,-0.007824834531815759,0.008300802919816082,0.9999349322008088
279,2,1771971769.395096,G:/S1/USA/2026-02-24_16-21-11snow/camera/right/1771971769395096064.jpg,2.811036750191,-11.386740652551,1.955776397302,-0.04434467660532815,0.012631181980570894,-0.0016457510877005976,0.046137897634158674,2.8553814267963284,-11.399371834531571,1.9574221483897005,0.088360553,-7.176487289,0.542381257,0.3942409725232298,0.3155582038048774,-0.9089950927527883,0.27230670458655454,-0.3142317266786178,-0.3708799457272842,-0.8739030196800451,0.8953666522492414,0.19019986122149624,-0.40266930703905146,0.31415772633659733,-0.9074892884100313,0.2788693500621303,-0.3125854220693106,-0.37623743021395545,-0.8722016682028016,0.8964347588602145,0.18683839949821401,-0.4018658178797684,0.9999763514502521,-0.005853513878080731,-0.0036101129512985408,0.005852721447423647,0.9999828462221299,-0.0002300285796146135,0.003611397499705926,0.0002088941542747692,0.9999934570642611
280,2,1771971769.8951292,G:/S1/USA/2026-02-24_16-21-11snow/camera/right/1771971769895129088.jpg,2.628844464209,-11.163221687903,1.992751817215,-0.04086223013731838,0.00983590938183454,-0.0016184510771386496,0.04206050818822714,2.6697066943463184,-11.173057597284835,1.9943702682921387,-0.097314179,-6.950173052,0.579329377,0.24947082442525412,0.25788428985094236,-0.9242542793689356,0.28151326809989774,-0.3684522552003163,-0.363427315576613,-0.8556655432647607,0.8931621513957453,0.11693850247453497,-0.4342657688019367,0.25767434749974405,-0.9230319464381231,0.28568506522958326,-0.3675504605473166,-0.3670778527982234,-0.8544943001193754,0.8935941973804646,0.11517758392888705,-0.43384736321460743,0.9999905289675624,-0.003936538500387522,-0.0018562434674194307,0.0039363038083464336,0.999992244266946,-0.00013007030851691097,0.0018567410976678617,0.0001227623383868234,0.9999982687194537
281,2,1771971770.395157,G:/S1/USA/2026-02-24_16-21-11snow/camera/right/1771971770395156992.jpg,2.395863138461,-10.975007228723,1.996386315683,-0.025785199471175135,0.014482115390354267,-0.014755747570490918,0.03305057131596782,2.421648337932175,-10.989489344113354,2.011142063253491,-0.345372536,-6.766604799,0.596101172,1.9150102803627234,0.15322085644905659,-0.9394938443069834,0.30638976102067034,-0.415754732111012,-0.3425615412967504,-0.8424960493389246,0.896477200979656,0.0017049732199509449,-0.44308658430379166,0.12618321902268648,-0.9371560190332557,0.3252943147778831,-0.4193169218037846,-0.3475683461630445,-0.8386713085795202,0.899027871829384,-0.03057516533440052,-0.43682266990015817,0.9994530592913152,-0.00548683517890241,-0.03261099374368134,0.005329922003208965,0.9999738070338736,-0.004896649632281894,0.032637006674487816,0.004720157402160875,0.9994561250547361
282,2,1771971770.8952532,G:/S1/USA/2026-02-24_16-21-11snow/camera/right/1771971770895253248.jpg,2.192726154444,-10.715833414966,2.000856319184,-0.032054470776867516,0.014459514887526836,0.003627411501056055,0.03535144667146817,2.224780625220868,-10.730292929853526,1.9972289076829437,-0.542240249,-6.507408384,0.582188016,0.22144398012135733,0.1210857708345976,-0.9541593040695244,0.27371199929661894,-0.4046813955877249,-0.2992363470898609,-0.8641125948888186,0.9064056510010089,-0.00613441422446509,-0.42236378253297246,0.12450455889482726,-0.9541198127836028,0.27231231640927805,-0.40568682204761214,-0.299410517481672,-0.8635806531171633,0.9054925826484241,-0.00295378996204443,-0.42435180910837034,0.9999931756082261,-0.00018585353977180474,0.0036897419201047505,0.00019004230775630402,0.99999933791013,-0.001134928730342479,-0.003689528546642362,0.0011356221922137252,0.9999925488429102
283,2,1771971771.395224,G:/S1/USA/2026-02-24_16-21-11snow/camera/right/1771971771395224064.jpg,1.942576282379,-10.456275486709,2.005482877986,-0.03235259615197528,0.012931253699743017,-0.004525804063960859,0.035133896772850115,1.9749288785309753,-10.469206740408744,2.010008682049961,-0.792091995,-6.246322195,0.594967791,0.20642797331552706,0.10154890663290628,-0.9453853212364225,0.30973281058416746,-0.3706681903555369,-0.324879857802977,-0.8700908979253084,0.9231971144995055,-0.026451321037408826,-0.3834154605583393,0.10312841754689983,-0.9451784905210956,0.3098421381131618,-0.37357090254451725,-0.3255039143736155,-0.8686149794353819,0.9218510239004714,-0.02616911889455303,-0.3866598853643025,0.9999987252069098,-0.000747794473391917,0.0014108111075865576,0.0007523470545200608,0.9999945032399782,-0.0032291583639551774,-0.0014083886059182479,0.003230215667027812,0.9999937910548645
